L,seed,expt_H
12,0,0.025014816748209483
12,1,0.015225128628762524
12,2,0.033390461201631645
12,3,-0.000540249433945924
12,4,-0.04319777384431287
12,5,-0.009255597721414651
12,6,-0.08353000344730485
12,7,0.005928493183444404
12,8,-0.011576870948543268
12,9,0.046561735256361564
12,10,0.03303902491142
12,11,0.03025130007864619
12,12,0.04262604225464447
12,13,-0.06597015506163426
12,14,0.04038284053162084
12,15,-0.06217497294184841
12,16,-0.036266900170798394
12,17,-0.0035152109849219486
12,18,0.022341676929399076
12,19,0.07242963146497698
